x y
-0.4689827 0.5369232
-0.2557522 1.076948
0.1457067 0.9663678
0.8164156 3.971097
-0.5966361 0.6280331
0.7967794 5.749018
0.8893505 4.565264
0.3215956 3.352458
0.2582281 2.720879
-0.8764275 -2.006342
-0.5880509 -0.1791471
-0.6468865 -0.3349494
0.3740457 3.062824
-0.2317926 2.404648
0.5396828 4.382224
-0.004601516 1.821672
0.435237 3.052349
0.9838122 5.6484
-0.2399296 1.836874
0.5548904 2.975916
0.8694105 3.900736
-0.575715 0.6374371
0.3033475 3.678576
-0.7488898 -0.3590156
-0.4655587 1.484432
-0.2277718 1.71479
-0.9732193 -1.531684
-0.2352241 1.635447
0.7393817 3.088782
-0.319302 2.475118
-0.03583977 3.872881
0.1991317 2.230173
-0.01291739 0.9171132
-0.6275648 0.6870252
0.6547466 3.829185
0.3369335 5.412418
0.5884797 3.726199
-0.7841127 0.3374011
0.4474219 3.370268
-0.1774511 0.7243734
0.6418926 4.11447
0.2941204 1.077403
0.5658655 5.163151
0.1060726 2.471471
0.05943916 4.350929
0.5787125 4.211647
-0.9533376 -1.569959
-0.04553987 2.474107
0.4646275 2.459785
0.3854631 1.902756
