x 	y1 	y2 	y3
-0.424845 0.8521244 2.935349 1.893588
0.5766103 3.715557 3.381959 3.866766
-0.1820462 1.432426 2.265524 1.891265
0.7660348 4.982406 3.25624 6.502775
0.8809346 4.529918 4.268411 9.229265
-0.908887 0.0315743 4.338029 -0.07091196
0.05621098 1.394257 2.290974 2.550944
0.7848381 4.646821 3.661693 7.063914
0.10287 2.370537 2.520233 1.981458
-0.08677053 1.847659 1.835297 1.252217
0.9136667 4.93082 5.030716 8.820103
-0.09333169 1.468843 1.501544 1.776319
0.3551413 2.89882 1.748298 2.670707
0.1452668 1.926513 3.683827 2.7318
-0.7941506 -0.9183475 3.683597 2.033458
0.7996499 4.550714 4.067434 7.76008
-0.5078245 0.7006313 3.091942 1.921318
-0.9158809 -0.7211407 4.274623 -0.9714038
-0.3441586 1.428658 2.613766 1.916362
0.9090073 5.752064 4.663365 9.030132
0.7790786 4.09172 3.7132 7.080631
0.3856068 2.002236 2.478724 3.271363
0.2810136 3.34591 2.219872 2.712208
0.9885396 4.611018 5.995857 10.03006
0.3114116 2.59023 1.920264 2.896952
0.4170609 3.763968 1.973821 2.733802
0.08813205 2.12201 2.042196 2.11481
0.188284 1.954493 2.261593 2.183677
-0.4216805 0.8256102 2.751705 2.297641
-0.7057727 -0.1867638 3.265163 1.397347
0.9260485 4.781027 4.041034 8.503844
0.8045981 4.606434 4.573727 7.435657
0.3814106 2.958902 2.261597 2.962347
0.5909348 4.094993 2.614856 4.152927
-0.9507726 -0.9625612 4.593766 -0.3858336
-0.04440806 2.032667 1.907328 2.07241
0.5169191 4.099177 3.356576 3.740867
-0.5671841 0.5160384 3.007462 2.690745
-0.363638 0.7461203 2.773725 1.998664
-0.5367484 0.9641585 2.614651 2.02051
-0.7144 0.3535521 3.638325 1.927656
-0.1709073 1.761476 1.925285 2.584766
-0.1725513 1.601712 2.136614 2.631128
-0.2623091 0.8991197 1.758737 1.809393
-0.6951105 0.5949947 2.794135 2.435602
-0.7223879 -0.4672934 4.564139 1.337039
-0.5339318 1.491871 3.155604 2.875386
-0.0680751 2.56208 1.388267 1.336558
-0.4680547 0.4779857 2.351643 2.052482
0.7156554 3.633756 2.943748 6.360637
-0.9083377 -1.080216 5.574637 -0.379082
-0.1155999 1.781642 2.696296 1.654477
0.5978497 3.670203 2.9397 3.885119
-0.7562015 -0.4423757 3.987119 0.5947048
0.121896 1.889879 1.837406 1.836863
-0.5869372 0.2166745 2.795362 1.985893
-0.7449367 -0.6272623 3.270491 0.1773574
0.5066157 2.685876 2.47267 3.656135
0.7900907 4.180159 4.698184 7.450321
-0.2510744 1.706275 2.162101 3.112938
0.3302304 2.703018 2.386779 3.193818
-0.8103187 -0.1269739 4.091693 1.155825
-0.2320607 0.4948765 2.777794 1.223209
-0.4512327 0.6185209 2.352801 1.758824
0.6292801 4.147544 2.691727 4.507102
-0.1029673 1.841675 2.869655 2.377019
0.6201287 3.913224 2.933097 4.531702
0.624779 3.553984 2.809513 4.005013
0.5886846 3.341202 2.421512 5.105917
-0.1203366 1.126926 1.401085 2.488683
0.5089503 3.585674 2.490105 3.686808
0.2584423 2.301589 2.50937 2.913003
0.4203648 3.015816 3.085044 2.30642
-0.9987505 -1.124297 5.346302 -0.6546187
-0.04936685 2.77383 1.825483 1.745133
-0.5597622 -0.00526164 2.969876 2.22952
-0.2403669 1.396593 1.821031 2.059593
0.225542 2.715606 1.793999 2.537927
-0.2964042 0.6298591 2.705892 2.775081
-0.7777292 -0.3688415 3.306792 0.9957171
-0.5127611 1.183992 3.766419 2.488648
0.3361112 3.234086 2.293752 1.972519
-0.1647064 1.526497 2.188654 1.693773
0.5763917 3.517927 2.627418 4.905249
-0.7942707 -1.409436 3.605404 1.074822
-0.1302145 2.175025 1.392359 1.011509
0.969914 4.179422 4.730737 9.614761
0.7861022 4.72828 4.063361 6.668143
0.7729381 5.273366 3.954452 6.995864
-0.6498947 -0.6716307 2.876321 1.569198
-0.7386086 0.1350663 3.242317 1.531067
0.3062039 2.787513 2.030183 2.933045
-0.3129671 0.2750268 3.041875 2.945445
0.3135163 2.183215 1.726226 2.507783
-0.3592535 0.1214714 2.297663 2.083
-0.6246178 -0.1393065 4.121623 0.8316656
0.5645886 2.962888 2.905793 4.085755
-0.81281 -0.09447169 3.30206 0.4741083
-0.06644192 2.850729 1.680859 1.524479
0.02301092 1.425518 2.244318 1.911708
