x1 	x2 	y1 	y2
-0.424845 0.1999779 1.170174 3.80085
0.5766103 -0.3343529 2.520861 4.100812
-0.1820462 -0.02277393 1.23942 1.968924
0.7660348 0.9089477 7.760124 7.336768
0.8809346 -0.03419521 4.030214 4.125644
-0.908887 0.7807004 2.373627 6.678076
0.05621098 0.8288764 5.091686 4.363322
0.7848381 0.21747 4.390423 3.739777
0.10287 -0.1786204 1.404015 2.984822
-0.08677053 -0.7058106 -0.6240558 3.988248
0.9136667 0.8705996 7.935725 7.595758
-0.09333169 -0.3975422 0.4338183 2.780135
0.3551413 -0.8785589 -1.257753 6.082077
0.1452668 0.8954539 5.989835 5.012626
-0.7941506 0.4411925 1.642022 4.174376
0.7996499 -0.7154114 1.687881 6.803422
-0.5078245 0.09856931 0.9236418 2.591939
-0.9158809 0.9081825 2.564734 7.454162
-0.3441586 0.1709667 1.226539 1.854117
0.9090073 -0.1909794 3.45104 3.982418
0.7790786 0.295787 5.579207 3.883864
0.3856068 -0.3603588 1.241648 3.274505
0.2810136 -0.38456 1.059522 3.383376
0.9885396 -0.5604647 2.595714 6.541908
0.3114116 -0.2610223 2.812077 2.381633
0.4170609 0.9684384 6.798961 6.303186
0.08813205 -0.6915954 -0.3842922 3.58422
0.188284 -0.817912 -0.6678155 4.423664
-0.4216805 -0.7161862 -2.610715 5.027459
-0.7057727 0.3800142 1.367085 3.564192
0.9260485 0.238513 6.454473 5.777898
0.8045981 0.7827882 7.770699 6.348004
0.3814106 0.3459982 4.548841 3.02255
0.5909348 0.4741555 5.458178 3.577642
-0.9507726 0.04227145 -1.709856 4.431859
-0.04440806 0.3196769 3.711152 1.756181
0.5169191 0.6436109 5.394881 4.367093
-0.5671841 0.5725631 2.958674 4.485899
-0.363638 0.9596438 5.702213 6.242515
-0.5367484 -0.1211369 -0.8167396 2.532225
-0.7144 -0.3765956 -1.29869 3.704088
-0.1709073 -0.1810501 0.6319789 1.967645
-0.1725513 -0.9790658 -3.219989 6.671631
-0.2623091 -0.632301 -2.073465 3.236984
-0.6951105 0.6854586 1.855735 5.239424
-0.7223879 -0.5376764 -2.583323 5.673097
-0.5339318 -0.5218001 -2.419874 3.893863
-0.0680751 -0.8466177 -1.246738 4.201028
-0.4680547 -0.5085526 -0.3883203 3.359344
0.7156554 0.4642704 5.360533 4.641406
-0.9083377 0.6949063 2.448482 6.21901
-0.1155999 -0.004945466 2.01794 1.75925
0.5978497 -0.2241819 3.062923 3.101344
-0.7562015 -0.507102 -2.801201 4.78938
0.121896 -0.7778071 -0.8052667 5.263766
-0.5869372 -0.2200111 -0.7810538 3.182823
-0.7449367 0.1438706 0.6221672 4.287987
0.5066157 -0.5662145 1.06877 4.367751
0.7900907 -0.110464 4.416903 3.864719
-0.2510744 -0.5640187 -1.196588 2.695132
0.3302304 0.004599127 3.535443 2.066682
-0.8103187 -0.2921909 -2.124308 4.066416
-0.2320607 0.2999703 1.873621 2.545063
-0.4512327 -0.2505721 1.264533 3.512078
0.6292801 -0.2891092 2.522974 4.668856
-0.1029673 0.06737589 2.109715 2.823755
0.6201287 0.4806687 6.101346 4.011273
0.624779 -0.5577941 1.40127 3.53732
0.5886846 -0.1745078 3.326454 2.967071
-0.1203366 -0.4686266 -0.05103412 2.96649
0.5089503 0.2599461 4.458945 3.469886
0.2584423 -0.632343 0.2786012 4.281072
0.4203648 0.7272882 6.153214 4.988067
-0.9987505 0.493136 2.040519 5.267603
-0.04936685 0.3365693 2.827509 2.885248
-0.5597622 0.2360357 0.7168582 2.939574
-0.2403669 -0.2555239 0.2756979 2.5219
0.225542 0.05967137 3.070552 2.204126
-0.2964042 0.7493647 4.326508 4.723839
-0.7777292 0.1635002 0.09163068 3.933855
-0.5127611 0.6795355 2.648196 3.802108
0.3361112 -0.3751037 2.139511 3.269971
-0.1647064 0.4165806 2.997378 2.968556
0.5763917 -0.4699644 1.416561 3.747322
-0.7942707 0.1886864 0.2537936 4.09408
-0.1302145 -0.0374204 1.361087 2.123488
0.969914 -0.4699345 3.584964 5.816063
0.7861022 0.1291809 4.917399 4.741044
0.7729381 0.8263764 8.001347 6.414367
-0.6498947 0.8037488 3.015665 5.93517
-0.7386086 -0.4516668 -1.91527 5.036831
0.3062039 -0.3570345 1.328131 3.318267
-0.3129671 0.9712818 4.993518 6.64003
0.3135163 0.2399866 3.452814 2.236518
-0.3592535 0.8746282 3.765351 6.448328
-0.6246178 -0.0669346 0.857015 3.221713
0.5645886 -0.1863348 3.248781 4.028589
-0.81281 0.3184606 0.2097768 3.712198
-0.06644192 -0.6953068 -1.286136 3.957541
0.02301092 0.1457341 2.059229 2.7115
