"incomesS","incomesW"
43072,37954
52586,42982
154307,83291
27778,28787
78126,54901
28702,29391
10288,15130
57559,45462
22323,25037
72860,52592
6002,10588
21333,24319
11083,15889
25408,27198
40295,36404
102272,64774
27124,28354
162164,85852
29237,29738
15834,20060
306817,126576
52520,42949
18111,21884
70843,51689
91992,60700
32465,31776
23952,26192
94179,61582
51220,42285
52423,42899
19513,22963
153633,83068
77677,54707
34709,33145
67405,50127
43558,38222
33825,32610
23890,26149
115325,69718
202926,98424
49624,41460
7623,12411
245462,110512
43445,38160
125789,73520
80712,56012
27677,28720
7224,11976
90989,60293
25558,27300
258403,114022
38337,35283
66877,49884
24148,26329
4399,8604
37404,34742
101387,64430
23339,25761
30348,30449
52852,43117
8736,13582
65134,49077
51024,42184
71767,52104
51426,42391
13357,17956
59081,46203
25687,27388
22588,25228
16215,20372
126920,73924
18521,22203
7259,12014
19097,22647
63271,48204
125429,73392
349796,137078
25516,27272
23267,25710
36163,34012
38853,35581
38043,35113
739174,215968
22989,25513
37777,34959
38911,35614
38495,35375
7132,11875
15800,20032
27038,28297
196127,96401
34200,32837
37798,34971
26273,27785
14912,19292
18510,22195
111975,68471
21596,24511
96446,62487
42401,37584
13048,17683
24349,26469
64164,48624
82375,56719
20236,23507
13178,17798
75317,53678
14432,18885
83411,57157
81168,56207
94903,61872
28832,29476
21040,24104
15618,19882
14236,18718
354429,138179
197370,96773
36297,34092
24667,26689
10468,15303
150569,82053
137242,77540
22944,25482
96822,62636
77232,54514
41248,36941
2079,5203
23491,25868
38270,35245
54061,43727
52715,43048
30965,30840
55213,44303
79916,55672
1108,3407
159813,85091
26854,28174
31378,31099
253151,112606
7457,12231
30482,30534
157306,84274
22740,25336
26525,27954
6225,10848
16182,20345
24677,26696
13084,17715
25105,26991
10037,14886
27135,28362
91548,60520
162240,85877
309918,127352
41810,37255
3155,6887
206537,99486
29534,29929
64485,48774
45297,39168
320592,130002
8186,13011
9561,14417
52894,43138
7284,12042
17080,21070
4989,9360
61385,47310
21012,24084
357289,138856
68779,50755
136080,77139
46128,39615
144414,79990
58897,46114
40587,36569
141735,79081
59133,46228
48939,41103
57240,45305
16919,20941
171007,88677
25167,27033
63867,48484
40412,36470
13608,18175
21380,24354
197802,96902
4160,8288
43477,38177
55552,44472
76460,54177
6407,11058
12547,17236
106973,66582
351175,137406
19001,22573
5031,9412
85410,57995
35305,33502
20432,23654
51637,42499
44824,38912
29305,29782
31367,31093
683923,206014
40312,36413
57851,45604
38557,35411
25584,27318
123248,72609
27445,28567
19110,22656
180957,91787
54046,43720
81185,56214
22477,25148
36303,34095
16237,20389
19925,23275
81010,56140
158130,84543
49135,41205
53603,43497
38167,35185
240577,109169
63005,48079
14338,18806
7223,11975
82715,56863
45298,39169
244210,110169
50248,41784
28564,29302
39745,36091
32796,31980
37080,34552
104466,65622
2284,5544
119530,71262
17986,21786
108163,67035
50370,41847
18963,22544
77015,54419
27816,28812
8237,13064
36455,34185
34208,32842
11174,15975
7681,12473
9997,14847
29451,29876
117354,70465
3014,6679
49571,41432
15989,20187
910926,245186
10272,15115
223173,104291
114667,69474
38788,35544
18002,21799
305483,126241
7798,12599
28675,29374
22433,25116
106993,66590
9701,14556
56559,44970
14469,18917
141031,78841
25124,27004
31220,31000
34125,32792
10822,15642
66129,49539
17120,21102
58339,45843
100654,64144
21264,24268
9069,13922
34192,32833
15991,20189
49252,41266
37494,34794
24451,26540
22165,24924
51323,42338
13491,18073
25888,27524
52772,43077
16267,20414
20605,23782
39226,35795
19744,23138
61509,47369
55983,44685
51367,42360
58997,46162
66551,49734
9442,14298
250873,111988
509923,172363
24482,26561
38546,35404
284633,120929
139545,78332
21044,24107
53848,43620
45987,39539
27713,28744
12626,17307
33250,32259
60082,46686
59151,46237
9855,14708
37814,34980
21547,24475
51688,42525
56829,45103
23636,25970
82489,56768
73812,53014
