x y
1 -4.921419
2 -4.415089
3 -3.213539
4 -3.69872
5 -3.46943
6 -2.542468
7 -3.103616
8 -3.966505
9 -3.73632
10 -3.722831
11 -3.02914
12 -3.620093
13 -3.758433
14 -4.044659
15 -4.485027
16 -3.372569
17 -4.017001
18 -5.183309
19 -3.715248
20 -4.102421
21 -4.141019
22 -3.408987
23 -3.471821
24 -2.964446
25 -2.553701
26 -2.743347
27 -1.174
28 -1.257288
29 -1.703143
30 -0.3730925
31 -0.7208421
32 -1.08151
33 -0.5453304
34 -0.6609333
35 -0.8303904
36 -1.05568
37 -1.28186
38 -1.730956
39 -1.960088
40 -2.056261
41 -2.213279
42 -1.903959
43 -2.298624
44 -0.3815474
45 -0.6031258
46 -1.461554
47 -0.7602615
48 -0.4333277
49 0.5488016
50 0.4583155
51 0.933766
52 1.051752
53 1.244491
54 2.084301
55 1.35304
56 2.224261
57 0.6327304
58 1.592307
59 1.220746
60 1.107971
61 1.031001
62 0.4488383
63 0.4262895
64 0.0246869
65 -0.00182144
66 0.7517643
67 0.9581791
68 0.9604767
69 1.654027
70 2.525042
71 1.595665
72 1.045416
73 3.061688
74 2.5454
75 2.863102
76 3.978811
77 3.523539
78 3.189641
79 3.956578
80 3.79658
81 3.809989
82 3.89264
83 3.373489
84 3.722188
85 3.130938
86 3.265891
87 3.541313
88 3.151565
89 2.771108
90 3.574404
91 3.630826
92 3.608173
93 3.712259
94 3.586047
95 4.921507
96 4.29987
97 6.052486
98 6.066305
99 5.489257
100 5.352815
