x y
0.02772498 6.32661
5.183129e-05 4.06386
0.05106084 7.089295
0.001404791 4.512383
0.006468978 5.039299
0.09548492 8.621703
0.008649589 5.17822
0.0289975 6.348295
0.08806992 8.502605
0.01232162 5.448945
0.01751129 5.660663
0.04407503 7.149931
0.0907183 8.418682
0.08510419 8.071632
0.07339875 7.965524
0.05736857 7.559877
0.04817655 6.988391
0.0330611 6.371949
0.01576602 5.587861
0.04801341 7.136996
0.02037126 5.941424
0.06803674 7.73005
0.0363788 6.539887
0.03503484 6.584252
0.006198844 5.112529
0.04830178 7.087693
0.03991433 6.68778
0.001621458 4.543096
0.01250833 5.347908
0.03981494 6.792933
0.05049176 7.144393
0.03276794 6.498691
0.04117796 6.745116
0.0202413 5.798676
0.08126682 8.378443
0.0642032 7.558108
0.02768733 6.116141
0.0103556 5.364995
0.02560028 6.065079
0.005785895 4.814251
0.02474559 6.230631
0.02150112 5.850315
0.04936738 7.204386
0.0653446 7.601297
0.03290258 6.524121
0.08638878 8.269276
0.06377899 7.737205
0.00137806 4.343854
0.05291648 7.377989
0.0834363 8.15695
0.05028559 7.099337
0.05977608 7.496246
0.04255951 6.918308
0.03122046 6.389298
0.02219272 5.780427
0.04434262 6.984569
0.04125241 6.857494
0.08157026 8.060734
0.01626589 5.803812
0.05969834 7.581666
0.0134735 5.598415
0.07523633 8.130697
0.01740836 5.784731
0.05798331 7.181526
0.0751312 7.957473
0.01827975 5.734643
0.005734051 4.918531
0.04984877 7.158347
0.0192167 5.833305
0.06197351 7.555612
0.06860473 8.006795
0.04255484 6.794454
0.04262017 6.982079
0.02045118 5.971269
0.09388939 8.501708
0.0535729 7.400778
0.0270474 6.345839
0.03323445 6.545296
0.03640115 6.744999
0.02202998 5.89198
0.005086579 4.887762
0.04962987 7.000481
0.05081305 7.195268
0.02359254 5.947273
0.08137346 8.103753
0.04191035 6.82602
0.01913998 5.797501
0.06488996 7.415
0.08132807 8.125469
0.02255015 6.033016
0.03654704 6.467384
0.07646076 8.060749
0.001437925 4.31413
0.04763635 7.018572
0.08105861 8.134903
0.0239314 6.097612
0.07654231 8.047737
0.01930278 6.042493
0.05870071 7.403327
0.02230741 6.030913
